S.No,Product Name,Brand,Price,Original Price,Discount,Rating,Rating Count,Review Count,RAM,ROM,Battery,Processor,Display Size,Camera,Network Type,Product URL,Scraped Date
1,"BOLTT EVO (Arctic White, 128 GB)",BOLTT,11499,18999,39% off,4,951,475,6 GB RAM,128 GB ROM,6000 mAh Lithium ion Battery,T7250 Processor,6.79'' HD+ punch hole display,50MP + 2MP | 8MP Front Camera,,https://www.flipkart.com/boltt-evo-arctic-white-128-gb/p/itmf046d663a1fd7?pid=MOBHPP59GKGTGZGA&lid=LSTMOBHPP59GKGTGZGAIEMNWG&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_1&otracker=search&fm=organic&iid=en_tx459rQyQ5VDNJyIW_tjJODC45g9yKqJbWZ1_Cn3O6Z8obozHQbYixUQo9NLNtDFApXdqJ8g9gjPKgZjVdc9boMGu8YsHMzyZkHNxcSc7mUzbNrfGqK3vN0vgmH1k0on&ppt=None&ppn=None&ssid=cqngc4z71s0000001790326714481&qH=a5594894156db043&ov_redirect=true,2026-09-25
2,"BOLTT EVO (Arctic White, 64 GB)",BOLTT,9999,17999,44% off,4.5,623,410,4 GB RAM,64 GB ROM,6000 mAh Lithium ion Battery,T7250 Processor,6.79'' HD+ punch hole display,50MP + 2MP | 8MP Front Camera,,https://www.flipkart.com/boltt-evo-arctic-white-64-gb/p/itmf046d663a1fd7?pid=MOBHPP59BYSJ98M8&lid=LSTMOBHPP59BYSJ98M8RWYHGQ&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_2&otracker=search&fm=organic&iid=en_tx459rQyQ5VDNJyIW_tjJODC45g9yKqJbWZ1_Cn3O6bfWEN4GyOzq52quSBsXEvU6Ux8tV-__SxlzWH1nelDDYMGu8YsHMzyZkHNxcSc7mUzbNrfGqK3vN0vgmH1k0on&ppt=None&ppn=None&ssid=cqngc4z71s0000001790326714481&qH=a5594894156db043&ov_redirect=true,2026-09-25
3,"Ai+ Pulse 2 (Blue, 128 GB)",Ai+,11999,,,3.7,"9,801",920,6 GB RAM,128 GB ROM,6000 mAh Battery,T7250 Processor,17.13 cm (6.745 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/ai-pulse-2-blue-128-gb/p/itmd59202944d081?pid=MOBHKHPYW49R78RA&lid=LSTMOBHKHPYW49R78RAR9LHZP&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_3&otracker=search&fm=organic&iid=55d70045-f368-4219-b1aa-99dfcebdbfbc.MOBHKHPYW49R78RA.SEARCH&ppt=None&ppn=None&ssid=cqngc4z71s0000001790326714481&qH=a5594894156db043&ov_redirect=true,2026-09-25
4,"BOLTT EVO (Berry Red, 64 GB)",BOLTT,9999,17999,44% off,4.5,623,410,4 GB RAM,64 GB ROM,6000 mAh Lithium ion Battery,T7250 Processor,6.79'' HD+ punch hole display,50MP + 2MP | 8MP Front Camera,,https://www.flipkart.com/boltt-evo-berry-red-64-gb/p/itmf046d663a1fd7?pid=MOBHPP598ENKRGBY&lid=LSTMOBHPP598ENKRGBYC3QECN&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_4&otracker=search&fm=organic&iid=55d70045-f368-4219-b1aa-99dfcebdbfbc.MOBHPP598ENKRGBY.SEARCH&ppt=None&ppn=None&ssid=cqngc4z71s0000001790326714481&qH=a5594894156db043&ov_redirect=true,2026-09-25
5,"BOLTT Evo (Lavender Bloom, 128 GB)",BOLTT,11499,18999,39% off,4,951,475,6 GB RAM,128 GB ROM,6000 mAh Lithium ion Battery,T7250 Processor,6.79'' HD+ punch hole display,50MP + 2MP | 8MP Front Camera,,https://www.flipkart.com/boltt-evo-lavender-bloom-128-gb/p/itmf046d663a1fd7?pid=MOBHPP59HZBAPF7Y&lid=LSTMOBHPP59HZBAPF7YKU7ZM5&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_5&otracker=search&fm=organic&iid=en_tx459rQyQ5VDNJyIW_tjJODC45g9yKqJbWZ1_Cn3O6aTcLvgHbWZEf3JlljEZm_4rhrLG2rRFB08dRiUGUD2N2slKe_XHrzCvwMIqYy_O4gInK_grdERSImCImmwpT-8&ppt=None&ppn=None&ssid=cqngc4z71s0000001790326714481&qH=a5594894156db043&ov_redirect=true,2026-09-25
6,"BOLTT EVO (Midnight Black, 64 GB)",BOLTT,9999,17999,44% off,4.5,623,410,4 GB RAM,64 GB ROM,6000 mAh Lithium ion Battery,T7250 Processor,6.79'' HD+ punch hole display,50MP + 2MP | 8MP Front Camera,,https://www.flipkart.com/boltt-evo-midnight-black-64-gb/p/itmf046d663a1fd7?pid=MOBHPP597GB8ZHTY&lid=LSTMOBHPP597GB8ZHTYGYX70A&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_6&otracker=search&fm=organic&iid=en_tx459rQyQ5VDNJyIW_tjJODC45g9yKqJbWZ1_Cn3O6aAbWzGalVVT9KV_Rb91ShMTVouhb2tykG8adhl7gpzvjaNc3Eue9HwBiJsTcEe_EwInK_grdERSImCImmwpT-8&ppt=None&ppn=None&ssid=cqngc4z71s0000001790326714481&qH=a5594894156db043&ov_redirect=true,2026-09-25
7,"vivo T5 Lite 44W 5G (Wave Blue, 128 GB)",vivo,22999,38499,40% off,4.3,"3,196",246,6 GB RAM,128 GB ROM,6500 mAh Li-ion Battery,Dimensity 6300 5G Processor,17.12 cm (6.74 inch) HD+ Display,50MP + 0.08MP | 5MP Front Camera,5G,https://www.flipkart.com/vivo-t5-lite-44w-5g-wave-blue-128-gb/p/itm5420c578ec2df?pid=MOBHNDTD57UJUK9Q&lid=LSTMOBHNDTD57UJUK9QMGWRRW&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_7&otracker=search&fm=organic&iid=55d70045-f368-4219-b1aa-99dfcebdbfbc.MOBHNDTD57UJUK9Q.SEARCH&ppt=None&ppn=None&ssid=cqngc4z71s0000001790326714481&qH=a5594894156db043&ov_redirect=true,2026-09-25
8,"Apple iPhone 15 (Black, 128 GB)",Apple,59900,,,4.6,"2,48,852","9,801",,,,"A16 Bionic Chip, 6 Core Processor Processor",15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,,https://www.flipkart.com/apple-iphone-15-black-128-gb/p/itm6ac6485515ae4?pid=MOBGTAGPTB3VS24W&lid=LSTMOBGTAGPTB3VS24WKFODHL&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_8&otracker=search&fm=organic&iid=55d70045-f368-4219-b1aa-99dfcebdbfbc.MOBGTAGPTB3VS24W.SEARCH&ppt=None&ppn=None&ssid=cqngc4z71s0000001790326714481&qH=a5594894156db043&ov_redirect=true,2026-09-25
9,"MOTOROLA g57 power 5G Snapdragon (Pantone Corsair, 128 GB)",MOTOROLA,21999,,,4.4,"57,068","4,111",8 GB RAM,128 GB ROM,7000 mAh Battery,6s Gen 4 Processor,17.07 cm (6.72 inch) Full HD+ Display,50MP + 8MP | 8MP Front Camera,,https://www.flipkart.com/motorola-g57-power-5g-snapdragon-pantone-corsair-128-gb/p/itm8332e9aa80c32?pid=MOBHN974GHFYSJNH&lid=LSTMOBHN974GHFYSJNH7KFUEZ&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_9&otracker=search&fm=organic&iid=55d70045-f368-4219-b1aa-99dfcebdbfbc.MOBHN974GHFYSJNH.SEARCH&ppt=None&ppn=None&ssid=cqngc4z71s0000001790326714481&qH=a5594894156db043&ov_redirect=true,2026-09-25
10,"OnePlus Nord CE6 Lite (Hyper Black, 128 GB)",OnePlus,28980,33999,14% off,4.3,"1,098",75,8 GB RAM,128 GB ROM,7000 mAh Battery,Mediatek Dimensity 7400 Processor,17.07 cm (6.72 inch) Full HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/oneplus-nord-ce6-lite-hyper-black-128-gb/p/itm894a5599b758b?pid=MOBHN8CA4A6Z3KMZ&lid=LSTMOBHN8CA4A6Z3KMZLOO9M0&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_10&otracker=search&fm=organic&iid=55d70045-f368-4219-b1aa-99dfcebdbfbc.MOBHN8CA4A6Z3KMZ.SEARCH&ppt=None&ppn=None&ssid=cqngc4z71s0000001790326714481&qH=a5594894156db043&ov_redirect=true,2026-09-25
